CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
5,3.4,7,0,0.25,1200,1,0,0,3,5,0.05,0.01,0.09,0,0,1,4,2,4,2732.484,1337.128,5348.512,8229.792,8400,649.244,1335.053,425032.716,0.0,425032.716,973539.963,548507.247,115.898,65.298,2942040.835,350.243,213917.826,25.466,13637932.159,1623.563
5,3.6,6,-30,0.5,1200,1,1,10,3,1,0.03,0.02,0.08,0,0,3,1,3,3,3428.491,2427.056,4854.111,7494.989,7200,641.733,1437.699,254187.466,146645.332,400832.798,990039.137,589206.339,137.505,81.834,2163056.606,300.425,229790.472,31.915,13652580.216,1896.192
5,3.6,2,15,0.25,1450,0,1,5,5,6,0.1,0.02,0.08,0,2,0,2,2,2,847.16,444.556,1778.223,2745.664,2900,698.65,1401.388,0.0,155448.969,155448.969,331869.708,176420.74,114.438,60.835,916841.4,316.152,68804.088,23.726,4357045.821,1502.43
5,3.1,1,-20,0.35,1150,1,1,0,4,4,0.05,0.01,0.09,1,2,1,0,3,0,432.946,238.709,682.025,1043.089,1150,726.541,1335.053,39423.485,117451.303,156874.789,158263.771,1388.982,137.621,1.208,424618.633,369.234,541.703,0.471,451703.778,392.786
5,3.2,6,-30,0.4,1250,1,1,30,4,2,0.05,0.05,0.1,0,3,0,5,2,4,2888.494,1762.15,4405.376,6752.104,7500,635.75,1557.948,205684.698,182085.196,387769.894,763619.086,375849.192,101.816,50.113,2061702.807,274.894,146581.185,19.544,9390762.055,1252.102
5,2.9,3,-15,0.15,1400,0,1,20,3,3,0.06,0.02,0.07,2,2,3,5,1,4,859.997,316.731,2111.538,3214.028,4200,620.349,1545.242,0.0,220660.492,220660.492,531040.343,310379.851,126.438,73.9,1009238.536,240.295,121048.142,28.821,7061645.633,1681.344
5,3.4,3,-5,0.1,1300,0,0,15,6,2,0.03,0.02,0.07,1,2,1,2,0,2,755.677,238.62,2386.2,3671.663,3900,664.062,1513.572,0.0,0.0,0.0,474238.799,474238.799,121.6,121.6,861144.024,220.806,184953.132,47.424,10108800.602,2592.0
5,3.1,5,30,0.5,1450,1,1,20,1,4,0.1,0.03,0.07,2,0,3,5,0,3,2741.336,1914.059,3828.119,5854.726,7250,686.053,1536.907,178587.848,170481.452,349069.3,720280.18,371210.88,99.349,51.202,1892965.641,261.099,144772.243,19.969,9131577.798,1259.528
5,3.1,1,-5,0.3,1050,0,1,15,5,4,0.06,0.03,0.05,0,2,2,3,1,4,391.719,195.412,651.372,996.209,1050,722.875,1513.572,0.0,121577.707,121577.707,137547.686,15969.979,130.998,15.21,329892.194,314.183,6228.292,5.932,641306.779,610.768
5,2.9,2,10,0.15,1350,1,1,40,2,4,0.04,0.01,0.05,1,3,1,3,0,1,568.266,207.439,1382.927,2104.99,2700,684.072,1643.494,120296.13,169731.815,290027.944,319840.089,29812.144,118.459,11.042,874964.168,324.061,11626.736,4.306,1456300.983,539.371
5,3.5,4,-20,0.45,950,1,1,5,4,4,0.04,0.02,0.06,3,2,0,0,0,2,2010.962,1260.046,2800.103,4316.232,3800,663.055,1395.475,124987.804,101416.118,226403.922,524878.669,298474.747,138.126,78.546,1262452.145,332.224,116405.151,30.633,7082709.711,1863.871
5,3.3,1,-5,0.35,1200,0,1,5,3,6,0.04,0.01,0.1,3,3,1,0,0,0,453.771,259.56,741.6,1138.944,1200,727.565,1401.256,0.0,128635.333,128635.333,183788.376,55153.043,153.157,45.961,490994.968,409.162,21509.687,17.925,1566479.306,1305.399
5,3.5,2,-30,0.25,1450,1,0,10,1,1,0.08,0.03,0.09,0,1,2,2,1,0,832.802,432.207,1728.828,2664.91,2900,696.676,1437.699,122852.158,0.0,122852.158,357404.62,234552.462,123.243,80.88,948500.612,327.069,91475.46,31.543,5522273.626,1904.232
5,3.0,1,-10,0.35,1000,1,0,5,2,3,0.06,0.04,0.03,2,1,3,1,0,4,410.355,215.435,615.528,939.225,1000,722.03,1399.856,43216.333,0.0,43216.333,139347.348,96131.015,139.347,96.131,290503.07,290.503,37491.096,37.491,2165057.865,2165.058
5,3.5,4,-10,0.45,1300,1,0,40,5,6,0.08,0.04,0.03,1,1,2,5,1,4,2174.875,1473.83,3275.177,5048.537,5200,679.976,1630.42,83291.402,0.0,83291.402,635015.79,551724.388,122.118,106.101,1429383.048,274.881,215172.511,41.379,12188008.608,2343.848
5,3.1,3,15,0.2,1450,1,1,25,6,4,0.07,0.03,0.07,1,0,1,5,2,2,1040.264,459.374,2296.871,3512.835,4350,613.201,1592.476,137914.698,176645.452,314560.15,471480.407,156920.257,108.386,36.074,1540487.264,354.135,61198.9,14.069,4600432.271,1057.571
5,3.3,5,15,0.2,1150,0,1,25,5,4,0.07,0.03,0.09,1,0,2,5,1,0,1696.989,726.027,3630.134,5575.133,5750,620.878,1592.476,0.0,140098.11,140098.11,728155.376,588057.266,126.636,102.271,1354259.469,235.523,229342.334,39.886,12821376.156,2229.805
5,3.6,2,-5,0.35,1350,0,0,25,6,5,0.04,0.05,0.04,2,3,3,4,0,2,984.892,600.858,1716.737,2650.728,2700,692.734,1592.059,0.0,0.0,0.0,351491.945,351491.945,130.182,130.182,629108.622,233.003,137081.859,50.771,7483201.557,2771.556
5,3.0,1,10,0.2,1400,0,1,0,3,1,0.05,0.03,0.06,2,0,0,2,0,4,337.379,145.623,728.117,1111.022,1400,737.599,1335.053,0.0,158871.328,158871.328,195100.624,36229.296,139.358,25.878,504873.926,360.624,14129.425,10.092,1211345.196,865.247
5,3.0,3,25,0.1,1150,0,1,40,3,3,0.03,0.03,0.05,1,2,2,0,0,3,681.402,198.007,1980.073,3021.362,3450,656.956,1620.393,0.0,190072.059,190072.059,444398.459,254326.4,128.811,73.718,924013.283,267.83,99187.296,28.75,5883378.077,1705.327
5,2.9,2,25,0.3,1200,0,0,40,6,1,0.06,0.03,0.05,3,0,0,5,1,2,780.205,391.026,1303.419,1983.968,2400,678.542,1620.393,0.0,0.0,0.0,277733.695,277733.695,115.722,115.722,456428.858,190.179,108316.141,45.132,5872235.914,2446.765
5,3.4,6,20,0.45,1100,1,0,20,2,5,0.1,0.05,0.05,3,2,1,4,3,4,3073.994,1974.288,4387.308,6750.781,6600,638.287,1552.519,230413.842,0.0,230413.842,755702.225,525288.382,114.5,79.589,2113990.086,320.302,204862.469,31.04,12357113.54,1872.29
5,3.6,1,-30,0.5,1200,1,0,40,1,3,0.1,0.04,0.03,3,0,1,0,2,3,571.415,404.509,809.019,1249.165,1200,720.343,1569.195,39628.446,0.0,39628.446,186008.609,146380.164,155.007,121.983,356344.346,296.954,57088.264,47.574,3210757.536,2675.631
5,3.3,4,-10,0.4,1000,0,1,35,1,6,0.06,0.05,0.07,0,0,3,1,1,2,1854.078,1083.33,2708.324,4159.425,4000,661.986,1625.018,0.0,124313.866,124313.866,547004.371,422690.505,136.751,105.673,1046332.299,261.583,164849.297,41.212,9288797.142,2322.199
5,3.2,7,25,0.15,1000,0,1,30,5,1,0.1,0.04,0.04,2,3,2,0,0,0,1951.446,689.392,4595.945,7044.188,7000,637.509,1601.204,0.0,136102.329,136102.329,820756.314,684653.985,117.251,97.808,1848047.792,264.007,267015.054,38.145,15198800.496,2171.257
