CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
4,3.3,2,-20,0.5,1000,0,0,20,2,1,0.1,0.02,0.06,1,0,0,0,3,2,1112.92,604.183,1208.365,1918.785,2000,713.194,1606.631,0,0,0,137168.754,137168.754,68.584,68.584377,403566.922,201.783,53495.81406,26.74790703,3078357.625,1539.178352
4,3,1,20,0.25,950,0,1,5,3,4,0.06,0.04,0.09,1,2,0,1,3,4,396.641,133.855,535.42,844.718,950,749.491,1491.887,0,108422.858,108422.858,65983.224,-42439.634,69.456,-44.67329895,291971.024,307.338,-16551.45726,-17.42258659,-535601.839,-563.7913295
4,3.6,6,-5,0.15,1250,1,1,5,4,4,0.1,0.04,0.06,3,3,0,5,3,2,2247.073,663.368,4422.45,7060.244,7500,648.849,1495.727,298542.848,143028.909,441571.757,581231,139659.243,77.497,18.6212324,2354912.243,313.988,54467.10477,7.262280636,5078267.482,677.1020318
4,3.4,1,-30,0.45,1300,1,0,20,6,3,0.04,0.02,0.05,2,2,2,3,1,4,572.896,319.393,709.763,1129.183,1300,750.702,1590.633,35869.457,0,35869.457,110252.615,74383.158,84.81,57.21781385,364255.399,280.196,29009.43162,22.3149474,1814726.98,1395.94337
4,3.5,2,5,0.45,1250,1,1,20,2,5,0.06,0.01,0.04,1,1,2,5,3,2,1151.639,644.941,1433.202,2284.197,2500,713.683,1617.797,84160.206,85945.441,170105.647,171350.422,1244.775,68.54,0.49791,798873.897,319.55,485.46225,0.1941849,823147.0095,329.259245
4,3,3,25,0.25,1050,1,0,35,6,4,0.09,0.02,0.04,2,2,3,0,2,1,1209.21,421.869,1687.476,2662.286,3150,687.247,1626.803,106461.707,0,106461.707,243598.948,137137.241,77.333,43.53563206,1022578.041,324.628,53483.52399,16.9788965,3696754.241,1173.572825
4,3.1,6,10,0.25,1400,1,0,40,2,1,0.06,0.05,0.05,1,0,2,1,0,4,2573.581,1007.071,4028.285,6369.962,8400,653.865,1649.697,295529.642,0,295529.642,513694.475,218164.833,61.154,25.97200393,2128932.375,253.444,85084.28487,10.12908153,6383146.619,759.8980766
4,3.5,3,5,0.4,1200,0,1,15,5,1,0.03,0.02,0.08,3,3,3,2,2,1,1608.544,842.234,2105.585,3355.823,3600,683.641,1586.164,0,161788.713,161788.713,252077.743,90289.03,70.022,25.08028611,876519.137,243.478,35212.7217,9.781311583,2637155.222,732.5435792
4,3.2,2,20,0.25,1450,1,1,35,3,6,0.07,0.01,0.1,2,1,1,0,0,3,873.938,352.615,1410.461,2235.181,2900,722.536,1638.648,124738.864,181767.05,306505.913,177987.696,-128518.217,61.375,-44.31662655,1091957.775,376.537,-50122.10463,-17.28348436,-1414147.457,-487.6372178
4,3.2,2,30,0.35,1300,0,1,35,2,1,0.04,0.02,0.03,3,0,3,4,0,2,983.178,467.608,1336.024,2117.219,2600,714.053,1612.954,0,178231.462,178231.462,183213.44,4981.978,70.467,1.916145385,721345.687,277.441,1942.97142,0.7472967,818494.258,314.805835
4,3.4,4,-15,0.35,1350,1,1,10,3,5,0.04,0.02,0.1,1,0,3,5,3,4,2040.019,1012.758,2893.595,4603.511,5400,672.806,1541.757,206519.445,88458.331,294977.776,358483.41,63505.634,66.386,11.76030259,1639477.909,303.607,24767.19726,4.586518011,2877837.772,532.9329006
4,2.9,2,15,0.35,1350,1,1,30,1,5,0.07,0.05,0.08,3,0,3,2,0,1,949.268,431.912,1234.033,1942.106,2700,717.748,1644.505,78298.085,94353.48,172651.565,168537.849,-4113.716,62.421,-1.523598519,848634.586,314.309,-1604.34924,-0.594203422,768417.124,284.5988289
