CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
5,3.4,6,10,0.5,1250,1,1,35,2,5,0.08,0.01,0.08,0,1,2,4,3,1,7214.311,3091.779,6183.558,8271.988,7500,550.748,1637.098,254737.629,86970.838,341708.468,989634.896,647926.428,131.951,86.39,2736772.956,364.903,252691.307,33.692,15371338.31,2049.512
2,3.5,5,-5,0.5,1050,0,1,25,1,1,0.06,0.02,0.07,1,2,0,1,3,4,5769.228,2428.859,4857.717,6509.962,5250,552.155,1743.326,0,155591.801,155591.801,631420.058,475828.256,120.27,90.634,1484101.759,282.686,185573.02,35.347,10762752.76,2050.048
2,3,6,-15,0.15,1200,0,0,5,2,4,0.04,0.04,0.1,2,2,1,0,1,0,3449.172,801.579,5343.86,7089.118,7200,550.367,1675.056,0,0,0,662532.669,662532.669,92.018,92.018,1841943.537,255.825,258387.741,35.887,14761330.58,2050.185
5,3.3,3,25,0.2,1300,0,1,20,2,2,0.09,0.05,0.03,2,1,3,3,0,0,2071.698,611.925,3059.627,4085.231,3900,612.301,1545.605,0,187868.277,187868.277,540655.243,352786.966,138.63,90.458,1116560.572,286.298,137586.917,35.279,7995906.412,2050.232
0,3.4,6,0,0.1,950,0,1,10,3,6,0.1,0.01,0.03,0,3,0,3,1,1,3017.515,539.017,5390.173,7210.645,5700,563.157,1618.129,0,117597.527,117597.527,624398.909,506801.381,109.544,88.913,1844729.108,323.637,197652.539,34.676,11727356.05,2057.431
1,3.5,2,-20,0.25,1400,1,1,5,6,1,0.05,0.01,0.06,0,2,2,3,3,1,1632.922,561.105,2244.421,3007.811,2800,847.587,2219.793,174635.058,264155.349,438790.407,661773.569,222983.163,236.348,79.637,1419710.825,507.04,86963.433,31.058,5767882.495,2059.958
4,3.3,6,10,0.3,1150,0,1,15,4,5,0.1,0.01,0.06,3,3,1,1,3,1,4969.665,1726.441,5754.803,7683.844,6900,548.662,1584.127,0,77424.198,77424.198,717569.693,640145.495,103.996,92.775,1795510.862,260.219,249656.743,36.182,14278348.01,2069.326
5,3.2,5,-30,0.1,1250,1,0,15,1,1,0.05,0.05,0.08,0,3,1,3,3,0,2573.458,484.985,4849.85,6462.49,6250,570.842,1480.317,338863.957,0,338863.957,868179.009,529315.052,138.909,84.69,2627397.227,420.384,206432.87,33.029,12949040.74,2071.847
2,3.6,5,15,0.4,1400,0,1,0,6,6,0.08,0.01,0.07,2,1,1,2,2,2,5571.434,2308.547,5771.369,7747.393,7000,566.956,1636.171,0,175233.953,175233.953,821124.627,645890.674,117.304,92.27,1958736.921,279.82,251897.363,35.985,14553605.07,2079.086
0,3.2,3,-5,0.25,1300,0,0,35,1,6,0.04,0.05,0.06,3,2,3,2,0,1,2285.096,741.728,2966.911,3953.449,3900,646.134,1773.914,0,0,0,365829.789,365829.789,93.803,93.803,975482.731,250.124,142673.618,36.583,8109163.608,2079.273
5,3.4,2,-25,0.1,1100,0,1,10,5,4,0.03,0.04,0.09,2,1,2,2,2,0,1028.075,193.198,1931.983,2584.49,2200,641.242,1444.332,0,121540.552,121540.552,318266.67,196726.118,144.667,89.421,742599.972,337.545,76723.186,34.874,4578759.272,2081.254
0,3.2,6,-15,0.4,1300,0,0,5,3,2,0.05,0.02,0.04,1,3,2,4,2,1,6033.492,2373.529,5933.822,7906.898,7800,581.156,1556.25,0,0,0,741663.399,741663.399,95.085,95.085,1829825.18,234.593,289248.725,37.083,16292261.45,2088.751
0,3.4,3,0,0.1,1350,0,0,20,3,4,0.05,0.05,0.03,3,3,1,0,3,3,1593.888,321.291,3212.907,4298.031,4050,646.284,1709.714,0,0,0,378380.128,378380.128,93.427,93.427,1092430.985,269.736,147568.25,36.437,8470843.486,2091.566
1,2.9,4,10,0.1,1450,0,1,25,1,3,0.04,0.02,0.07,0,2,1,3,1,4,2043.128,378.476,3784.759,5008.462,5800,801.041,2337.249,0,345679.191,345679.191,894065.946,548386.755,154.149,94.549,1467438.106,253.007,213870.835,36.874,12160979.84,2096.721
2,3.5,2,-10,0.5,950,1,0,35,3,6,0.07,0.03,0.09,0,0,1,4,3,1,2230.819,924.785,1849.569,2478.659,1900,631.989,1716.466,95382.85,0,95382.85,259519.634,164136.784,136.589,86.388,783288.965,412.257,64013.346,33.691,3983956.261,2096.819
4,2.9,7,10,0.4,950,0,0,35,4,2,0.1,0.01,0.06,3,3,1,1,2,4,6013.834,2145.5,5363.751,7097.979,6650,539.179,1654.969,0,0,0,639761.101,639761.101,96.205,96.205,1487822.655,223.733,249506.83,37.52,13963164.13,2099.724
2,3,6,-10,0.2,1450,0,0,0,6,5,0.09,0.05,0.06,1,2,2,1,3,0,4062.394,1174.58,5872.902,7790.94,8700,560.458,1636.171,0,0,0,842561.326,842561.326,96.846,96.846,1847429.941,212.348,328598.917,37.77,18277375.8,2100.848
2,3.1,2,0,0.3,1150,0,0,25,3,2,0.03,0.04,0.03,3,0,0,4,3,3,1599.215,540.603,1802.009,2396.037,2300,647.15,1742.246,0,0,0,217114.851,217114.851,94.398,94.398,601311.478,261.44,84674.792,36.815,4835051.064,2102.196
5,3,3,5,0.15,1100,0,1,25,3,4,0.07,0.01,0.06,3,1,2,2,2,4,1696.253,383.556,2557.037,3392.143,3300,609.896,1596.73,0,134364.823,134364.823,441470.086,307105.263,133.779,93.062,950288,287.966,119771.053,36.294,6938840.626,2102.679
2,3.3,4,-5,0.25,1200,0,0,10,1,5,0.05,0.04,0.08,3,0,1,3,3,3,3031.566,979.708,3918.831,5232.444,4800,587.686,1706.805,0,0,0,459746.999,459746.999,95.781,95.781,1144640.026,238.467,179301.33,37.354,10109706.51,2106.189
2,2.9,6,5,0.35,1350,0,1,5,6,6,0.1,0.02,0.03,2,0,3,1,0,0,5285.076,1918.294,5480.841,7252.927,8100,566.335,1674.435,0,172927.251,172927.251,950396.628,777469.377,117.333,95.984,1916779.139,236.639,303213.057,37.434,17077432,2108.325
2,3.2,3,30,0.2,1100,0,0,40,5,6,0.05,0.03,0.04,3,0,2,3,0,1,1962.495,545.501,2727.506,3634.439,3300,614.277,1640.249,0,0,0,315009.692,315009.692,95.457,95.457,821419.042,248.915,122853.78,37.228,6964108.029,2110.336
4,3.2,3,25,0.15,1450,0,0,0,3,1,0.08,0.01,0.05,1,1,0,5,3,1,1838.094,469.832,3132.214,4173.718,4350,627.366,1439.759,0,0,0,420162.338,420162.338,96.589,96.589,1000794.024,230.068,163863.312,37.67,9193959.61,2113.554
2,3.4,6,-15,0.35,1350,0,1,10,2,1,0.09,0.01,0.07,2,2,0,5,1,2,5828.821,2249.035,6425.813,8596.061,8100,541.765,1706.154,0,195781.124,195781.124,960365.33,764584.206,118.564,94.393,2211377.017,273.01,298187.84,36.813,17120769.03,2113.675
5,3.4,6,20,0.45,1100,1,0,20,2,5,0.1,0.05,0.05,3,2,1,4,3,4,6419.259,2608.178,5795.95,7753.469,6600,545.245,1552.519,260022.104,0,260022.104,841937.822,581915.718,127.566,88.169,2616888.022,396.498,226947.13,34.386,13964244.52,2115.795
5,3.1,3,-20,0.1,1100,1,0,35,4,3,0.04,0.04,0.05,2,0,1,0,0,3,1500.075,264.227,2642.272,3513.291,3300,600.284,1601.773,174726.343,0,174726.343,467448.853,292722.51,141.651,88.704,1309735.907,396.89,114161.779,34.594,7017824.854,2126.614
5,3.5,2,-30,0.25,1450,1,0,10,1,1,0.08,0.03,0.09,0,1,2,2,1,0,1649.151,570.977,2283.906,3060.727,2900,651.017,1437.699,151659.839,0,151659.839,409346.255,257686.416,141.154,88.857,1184753.091,408.536,100497.702,34.654,6209638.208,2141.255
2,3.4,5,10,0.45,1450,1,0,5,5,2,0.08,0.02,0.08,1,1,0,0,2,4,5879.583,2495.983,5546.63,7419.943,7250,572.124,1673.423,118683.674,0,118683.674,797920.812,679237.138,110.058,93.688,2296844.642,316.806,264902.484,36.538,15541968.82,2143.72
5,3.6,7,30,0.35,1000,1,1,0,1,2,0.07,0.02,0.09,3,1,3,1,0,2,6416.919,2390.683,6830.522,9169.183,7000,531.686,1335.053,321041.817,124827.472,445869.29,1053299.304,607430.015,150.471,86.776,3201638.659,457.377,236897.706,33.843,15046523.94,2149.503
1,3.3,1,10,0.2,950,1,0,35,6,4,0.09,0.01,0.06,3,0,3,3,0,2,641.924,174.388,871.94,1164.219,950,911.363,2312.224,77812.455,0,77812.455,157580.985,79768.53,165.875,83.967,487324.926,512.974,31109.727,32.747,2042811.269,2150.328
5,3.3,5,10,0.3,1050,1,1,35,1,5,0.05,0.01,0.07,1,1,2,1,1,3,4035.084,1374.04,4580.133,6115.419,5250,529.461,1637.098,230860.136,73055.503,303915.639,768085.05,464169.411,146.302,88.413,2280445.895,434.371,181026.07,34.481,11331749.41,2158.428
5,3.5,4,-25,0.25,1100,1,0,40,2,5,0.05,0.02,0.08,0,2,0,2,1,2,3055.726,994.403,3977.613,5330.51,4400,575.08,1588.618,256651.592,0,256651.592,644684.551,388032.959,146.519,88.189,1939180.599,440.723,151332.854,34.394,9505823.3,2160.414
2,3.3,7,-30,0.25,1250,0,1,40,6,6,0.03,0.05,0.08,3,3,1,1,2,0,5364.433,1750.493,7001.971,9349.069,8750,529.307,1672.497,0,159932.556,159932.556,1016778.012,856845.456,116.203,97.925,2240972.719,256.111,334169.728,38.191,18949459.11,2165.652
0,3.4,5,15,0.25,1250,0,0,15,1,1,0.06,0.02,0.06,0,2,2,0,3,0,3894.029,1288.241,5152.965,6893.323,6250,594.266,1662.253,0,0,0,610915.473,610915.473,97.746,97.746,1633589.944,261.374,238257.035,38.121,13546441.68,2167.431
1,3,3,-25,0.15,1300,1,0,40,3,5,0.05,0.03,0.05,0,3,1,2,1,3,1751.601,417.222,2781.479,3689.886,3900,799.928,2285.054,308649.771,0,308649.771,664280.898,355631.127,170.328,91.187,1530170.531,392.351,138696.14,35.563,8464977.512,2170.507
5,3.6,6,-30,0.5,1200,1,1,10,3,1,0.03,0.02,0.08,0,0,3,1,3,3,7402.612,3206.316,6412.632,8608.214,7200,533.261,1437.699,279039.925,146645.332,425685.257,1095340.191,669654.935,152.131,93.008,2649931.898,368.046,261165.424,36.273,15708203.12,2181.695
0,3.4,4,15,0.4,1050,0,0,0,3,2,0.06,0.04,0.05,1,2,1,4,1,4,3903.471,1510.056,3775.14,5050.152,4200,615.963,1492.553,0,0,0,406227.837,406227.837,96.721,96.721,1265888.547,301.402,158428.856,37.721,9187331.36,2187.46
1,3.4,1,10,0.45,1050,1,0,25,2,3,0.08,0.03,0.09,0,3,1,0,0,4,1053.448,424.703,943.785,1262.538,1050,914.982,2337.249,71052.573,0,71052.573,167625.019,96572.446,159.643,91.974,415632.466,395.84,37663.254,35.87,2298795.165,2189.329
5,3.2,6,-10,0.4,1350,0,1,30,6,4,0.05,0.04,0.07,0,3,0,5,3,4,6108.461,2419.13,6047.824,8058.808,8100,556.06,1610.29,0,166302.702,166302.702,977544.1,811241.398,120.684,100.153,1987099.448,245.321,316384.145,39.06,17806306.71,2198.309
